zip,fips,county,state
00501,36103,Suffolk,NY
00601,72113,Ponce,PR
00601,72001,Adjuntas,PR
00602,72003,Aguada,PR
00602,72005,Aguadilla,PR
00603,72005,Aguadilla,PR
00603,72099,Moca,PR
00603,72071,Isabela,PR
00604,72005,Aguadilla,PR
00605,72005,Aguadilla,PR
00606,72093,Maricao,PR
00610,72011,Anasco,PR
00611,72141,Utuado,PR
00612,72017,Barceloneta,PR
00612,72054,Florida,PR
00612,72013,Arecibo,PR
00612,72141,Utuado,PR
00612,72065,Hatillo,PR
00613,72013,Arecibo,PR
00614,72013,Arecibo,PR
00616,72013,Arecibo,PR
00617,72017,Barceloneta,PR
00617,72054,Florida,PR
00617,72091,Manati,PR
00622,72023,Cabo Rojo,PR
00623,72023,Cabo Rojo,PR
00623,72097,Mayaguez,PR
00624,72059,Guayanilla,PR
00624,72113,Ponce,PR
00624,72111,Penuelas,PR
00627,72027,Camuy,PR
00631,72081,Lares,PR
00637,72121,Sabana Grande,PR
00638,72107,Orocovis,PR
00641,72141,Utuado,PR
00641,72113,Ponce,PR
00646,72137,Toa Baja,PR
00646,72135,Toa Alta,PR
00646,72143,Vega Alta,PR
00646,72051,Dorado,PR
00647,72055,Guanica,PR
00647,72121,Sabana Grande,PR
00650,72054,Florida,PR
00650,72013,Arecibo,PR
00650,72017,Barceloneta,PR
00650,72091,Manati,PR
00652,72013,Arecibo,PR
00653,72055,Guanica,PR
00653,72153,Yauco,PR
00656,72059,Guayanilla,PR
00659,72013,Arecibo,PR
00659,72065,Hatillo,PR
00660,72097,Mayaguez,PR
00660,72067,Hormigueros,PR
00662,72115,Quebradillas,PR
00662,72005,Aguadilla,PR
00662,72071,Isabela,PR
00662,72099,Moca,PR
00664,72141,Utuado,PR
00664,72073,Jayuya,PR
00667,72079,Lajas,PR
00667,72121,Sabana Grande,PR
00669,72081,Lares,PR
00670,72083,Las Marias,PR
00674,72091,Manati,PR
00674,72145,Vega Baja,PR
00674,72017,Barceloneta,PR
00674,72101,Morovis,PR
00676,72131,San Sabastian,PR
00676,72099,Moca,PR
00677,72117,Rincon,PR
00678,72115,Quebradillas,PR
00680,72011,Anasco,PR
00680,72097,Mayaguez,PR
00680,72023,Cabo Rojo,PR
00680,72067,Hormigueros,PR
00681,72097,Mayaguez,PR
00682,72097,Mayaguez,PR
00683,72097,Mayaguez,PR
00683,72125,San German,PR
00683,72121,Sabana Grande,PR
00683,72023,Cabo Rojo,PR
00683,72079,Lajas,PR
00685,72131,San Sabastian,PR
00687,72145,Vega Baja,PR
00687,72091,Manati,PR
00687,72101,Morovis,PR
00687,72143,Vega Alta,PR
00688,72013,Arecibo,PR
00690,72005,Aguadilla,PR
00692,72143,Vega Alta,PR
00692,72101,Morovis,PR
00692,72145,Vega Baja,PR
00692,72051,Dorado,PR
00693,72091,Manati,PR
00693,72145,Vega Baja,PR
00693,72143,Vega Alta,PR
00693,72101,Morovis,PR
00694,72145,Vega Baja,PR
00698,72059,Guayanilla,PR
00698,72121,Sabana Grande,PR
00698,72153,Yauco,PR
00703,72007,Aguas Buenas,PR
00703,72041,Cidra,PR
00703,72025,Caguas,PR
00704,72123,Salinas,PR
00705,72043,Coamo,PR
00705,72035,Cayey,PR
00705,72009,Aibonito,PR
00707,72095,Maunabo,PR
00714,72015,Arroyo,PR
00715,72113,Ponce,PR
00716,72113,Ponce,PR
00717,72113,Ponce,PR
00718,72103,Nabuabo,PR
00719,72127,San Juan,PR
00719,72105,Naranjito,PR
00719,72019,Barranquitas,PR
00720,72101,Morovis,PR
00720,72107,Orocovis,PR
00720,72075,Juana Diaz,PR
00721,72119,Rio Grande,PR
00723,72109,Patillas,PR
00723,72025,Caguas,PR
00725,72063,Gurabo,PR
00725,72007,Aguas Buenas,PR
00725,72127,San Juan,PR
00725,72041,Cidra,PR
00725,72025,Caguas,PR
00725,72129,San Lorenzo,PR
00726,72025,Caguas,PR
00727,72025,Caguas,PR
00728,72113,Ponce,PR
00729,72063,Gurabo,PR
00729,72031,Carolina,PR
00729,72087,Loiza,PR
00729,72029,Canovanas,PR
00730,72113,Ponce,PR
00731,72113,Ponce,PR
00732,72113,Ponce,PR
00733,72113,Ponce,PR
00735,72119,Rio Grande,PR
00735,72053,Fajardo,PR
00735,72037,Ceiba,PR
00736,72035,Cayey,PR
00736,72025,Caguas,PR
00737,72035,Cayey,PR
00738,72053,Fajardo,PR
00738,72037,Ceiba,PR
00738,72089,Luquillo,PR
00739,72025,Caguas,PR
00739,72045,Comerio,PR
00739,72035,Cayey,PR
00739,72041,Cidra,PR
00740,72053,Fajardo,PR
